,transcript
148,"But Alan Greenspan, Dr.  Greenspan, let me begin with you.  Where are we on our search for jobs and on our overall economic outlook?"
149,"DR. ALAN GREENSPAN: Well, our search for jobs is still, well, not doing too well.  The, the 10 percent unemployment rate is the consequence of the fact that this economy is not picking up the way it ordinarily would out of a recession.  And the basic reason is that, unlike previous
recoveries when, for example, we would be getting very significant pickups in building, residential, nonresidential, in a sense, longer term assets, we're not getting that today, and it's a big hole in the economy. And the reason, essentially, as far as the business section is--sector is concerned, is that business is highly uncertain about the future in a way which I have never seen it before and a way in which the data suggests has never, in fact, been so depressed. And unless and until we can begin to lift that pall of uncertainty, it is very difficult to see people reaching out into the longer term.  In other words, remember, buildings are 20, 30-year investments."
150,MR. GREGORY: Right.
151,"DR. GREENSPAN: And what the data show is that they are--there's extremely high risk aversion in what a columnist called ""illiquid assets"" like buildings."
152,"MR. GREGORY: Speaker Gingrich, President Obama was on the air a week ago and he talked about a new normal in our economy.  Let me play a portion of that interview and have you react to it."
153,"(Videotape, ""60 Minutes,"" last Sunday)"
154,"PRES. BARACK OBAMA: What is a danger is that we stay stuck in a new normal where unemployment rates stay high.  People who have jobs see their incomes go up, businesses make big profits, but they've learned to do more with less and so they don't hire.  And as a consequence, we keep on seeing growth that is just too slow to bring back the eight million
jobs that were lost."
155,(End videotape)
156,MR. GREGORY: Do you accept that?
157,"FMR. REP. NEWT GINGRICH (R-GA): No.  I think, I think we have two enormous policy challenges.  The first is that we're now in a world market, a genuine world market where you've got to think about economics in terms of competing with China, India, Germany.  And you ought to study Germany, which is a high cost country with a huge export manufacturing
base.  Second, this administration is just wrong.  I mean, the Obama model of the economy's just fundamentally, profoundly wrong.  And I don't care--I think Chairman Bernanke is very foolish to be printing $600 billion of additional money, because the fact is, the problems in this
economy are problems of fiscal policy, they're problems of taxation, and they're problems of an anti-business, anti-jobs bureaucracy that this president encourages."
158,"MR. GREGORY: We prop up the economy, Harold, for--we're certainly propping up the housing market.  And so we're in this state.  You agree with that?"
159,"FMR. REP. HAROLD FORD JR. (D-TN): In large part.  But let me differ a little bit with the speaker.  I think there are two kinds of debt here. The first is the debt we're accumulating as a result of this crisis.  And we can't ignore the fact that to get America back on a growth trajectory and growth platform, there's some steps that government's going to have
to take.  I agree with the chairman wholeheartedly that certainly around taxes and regulations going forward, I hope that the administration will call for a year moratorium on regulations.  I hope they extend the tax cuts and even cut the corporate rate.  But to suggest that the Fed should not continue to play an active role, especially in the face of some inaction from--on the fiscal side I think is wrong."
160,"Two, the entitlement debt.  I think that recommendations made by this deficit reduction commission have been responsible.  There may be some areas where we disagree with, but I hope the left in my party and the right in the Republican Party don't scream so loud that they scare the crowded middle."
161,"MR. GREGORY: And I, and I want to get back to the debt commission."
162,"But, Bethany McLean, let me bring you into this.  A big part of your book, of course, deals with the, the financial collapse and the housing market. The--what--we don't talk about this enough, that--the fact that the government is propping up the housing market.  Prices have not come down far enough, even though there's so much pain out there and such a crisis out there.  Can the economy really rebound unless the housing market corrects fully?"
163,"MS. BETHANY McLEAN: It's a great question, and it's a really interesting thing because one of the great ironies of the financial crisis, one of the big complaints is that government involvement in the housing market was a factor. People want to overplay it as ""the factor""; it was a factor.  But the great irony is that we've come out of the financial crisis with the, the housing market even more reliant on the government. It's now some 90 percent of the housing market.  And I don't know if anybody has the guts to see what happens if you yank government support away from the housing market right now.  But I think if you don't do
that, it's hard to argue that we've found, that we've found a real bottom in, in, in housing prices.  But doing so will risk putting the economy into more of a tailspin."
